Source,Target,Weight
albanD,apaszke,4
apaszke,rohan-varma,4
apaszke,swolchok,4
apaszke,jansel,3
apaszke,colesbury,5
apaszke,desertfire,3
apaszke,huydhn,3
angelayi,apaszke,1
apaszke,smessmer,4
apaszke,eellison,2
apaszke,bdhirsh,3
apaszke,kshitij12345,4
apaszke,vkuzo,4
apaszke,mlazos,1
apaszke,williamwen42,1
Chillee,suo,6
suo,zdevito,10
janeyx99,suo,4
albanD,suo,5
rohan-varma,suo,4
suo,swolchok,5
jansel,suo,3
colesbury,suo,4
desertfire,suo,3
huydhn,suo,3
angelayi,suo,1
smessmer,suo,4
eellison,suo,3
bdhirsh,suo,4
kshitij12345,suo,5
suo,vkuzo,4
mlazos,suo,1
suo,williamwen42,1
Chillee,zdevito,6
Chillee,janeyx99,4
Chillee,albanD,5
Chillee,rohan-varma,4
Chillee,swolchok,5
Chillee,jansel,4
Chillee,colesbury,4
Chillee,desertfire,3
Chillee,huydhn,4
Chillee,angelayi,1
Chillee,smessmer,4
Chillee,eellison,3
Chillee,bdhirsh,4
Chillee,kshitij12345,5
Chillee,vkuzo,4
Chillee,mlazos,1
Chillee,williamwen42,1
janeyx99,zdevito,4
albanD,zdevito,5
rohan-varma,zdevito,4
swolchok,zdevito,5
jansel,zdevito,3
colesbury,zdevito,5
desertfire,zdevito,3
huydhn,zdevito,3
angelayi,zdevito,1
smessmer,zdevito,4
eellison,zdevito,3
bdhirsh,zdevito,4
kshitij12345,zdevito,5
vkuzo,zdevito,4
mlazos,zdevito,1
williamwen42,zdevito,1
albanD,janeyx99,7
janeyx99,rohan-varma,6
janeyx99,swolchok,4
janeyx99,jansel,3
colesbury,janeyx99,4
desertfire,janeyx99,3
huydhn,janeyx99,5
angelayi,janeyx99,4
janeyx99,smessmer,4
eellison,janeyx99,2
bdhirsh,janeyx99,6
janeyx99,kshitij12345,4
janeyx99,vkuzo,6
janeyx99,mlazos,1
janeyx99,williamwen42,3
albanD,rohan-varma,4
albanD,swolchok,4
albanD,jansel,3
albanD,colesbury,4
albanD,desertfire,3
albanD,huydhn,3
albanD,angelayi,3
albanD,smessmer,4
albanD,eellison,3
albanD,bdhirsh,7
albanD,kshitij12345,5
albanD,vkuzo,4
albanD,mlazos,1
albanD,williamwen42,3
rohan-varma,swolchok,4
jansel,rohan-varma,3
colesbury,rohan-varma,4
desertfire,rohan-varma,3
huydhn,rohan-varma,6
angelayi,rohan-varma,1
rohan-varma,smessmer,4
eellison,rohan-varma,2
bdhirsh,rohan-varma,3
kshitij12345,rohan-varma,4
rohan-varma,vkuzo,7
mlazos,rohan-varma,1
rohan-varma,williamwen42,1
jansel,swolchok,3
colesbury,swolchok,4
desertfire,swolchok,3
huydhn,swolchok,4
angelayi,swolchok,2
smessmer,swolchok,4
eellison,swolchok,2
bdhirsh,swolchok,3
kshitij12345,swolchok,4
swolchok,vkuzo,4
mlazos,swolchok,1
swolchok,williamwen42,2
colesbury,jansel,3
desertfire,jansel,3
huydhn,jansel,6
angelayi,jansel,1
jansel,smessmer,3
eellison,jansel,2
bdhirsh,jansel,3
jansel,kshitij12345,3
jansel,vkuzo,3
jansel,mlazos,1
jansel,williamwen42,1
colesbury,desertfire,3
colesbury,huydhn,3
angelayi,colesbury,1
colesbury,smessmer,4
colesbury,eellison,2
bdhirsh,colesbury,3
colesbury,kshitij12345,4
colesbury,vkuzo,4
colesbury,mlazos,1
colesbury,williamwen42,1
desertfire,huydhn,3
angelayi,desertfire,1
desertfire,smessmer,3
desertfire,eellison,2
bdhirsh,desertfire,3
desertfire,kshitij12345,3
desertfire,vkuzo,3
desertfire,mlazos,1
desertfire,williamwen42,1
angelayi,huydhn,2
huydhn,smessmer,3
eellison,huydhn,2
bdhirsh,huydhn,3
huydhn,kshitij12345,3
huydhn,vkuzo,7
huydhn,mlazos,1
huydhn,williamwen42,1
angelayi,smessmer,1
angelayi,eellison,1
angelayi,bdhirsh,3
angelayi,kshitij12345,1
angelayi,vkuzo,1
angelayi,mlazos,1
angelayi,williamwen42,3
eellison,smessmer,2
bdhirsh,smessmer,3
kshitij12345,smessmer,4
smessmer,vkuzo,4
mlazos,smessmer,1
smessmer,williamwen42,1
bdhirsh,eellison,3
eellison,kshitij12345,3
eellison,vkuzo,2
eellison,mlazos,1
eellison,williamwen42,1
bdhirsh,kshitij12345,5
bdhirsh,vkuzo,3
bdhirsh,mlazos,1
bdhirsh,williamwen42,3
kshitij12345,vkuzo,4
kshitij12345,mlazos,1
kshitij12345,williamwen42,1
mlazos,vkuzo,1
vkuzo,williamwen42,1
mlazos,williamwen42,1
ybaturina,yuriivcs,2
meteorcloudy,yuriivcs,2
bhatuzdaname,yuriivcs,1
mraunak,yuriivcs,1
dimvar,yuriivcs,2
MichaelHudgins,yuriivcs,2
gpupuck,yuriivcs,1
chsigg,yuriivcs,1
beckerhe,yuriivcs,2
xhochy,yuriivcs,2
xinxinmo,yuriivcs,2
ermilovmaxim,yuriivcs,1
meteorcloudy,ybaturina,2
bhatuzdaname,ybaturina,1
mraunak,ybaturina,1
dimvar,ybaturina,2
MichaelHudgins,ybaturina,2
gpupuck,ybaturina,1
chsigg,ybaturina,1
beckerhe,ybaturina,2
xhochy,ybaturina,2
xinxinmo,ybaturina,2
ermilovmaxim,ybaturina,1
bhatuzdaname,meteorcloudy,1
meteorcloudy,mraunak,1
dimvar,meteorcloudy,2
MichaelHudgins,meteorcloudy,2
gpupuck,meteorcloudy,1
chsigg,meteorcloudy,1
beckerhe,meteorcloudy,2
meteorcloudy,xhochy,2
meteorcloudy,xinxinmo,2
ermilovmaxim,meteorcloudy,1
bhatuzdaname,mraunak,1
bhatuzdaname,dimvar,1
MichaelHudgins,bhatuzdaname,1
bhatuzdaname,gpupuck,1
bhatuzdaname,chsigg,1
beckerhe,bhatuzdaname,1
bhatuzdaname,xhochy,1
bhatuzdaname,xinxinmo,1
bhatuzdaname,ermilovmaxim,1
dimvar,mraunak,1
MichaelHudgins,mraunak,1
gpupuck,mraunak,1
chsigg,mraunak,1
beckerhe,mraunak,1
mraunak,xhochy,1
mraunak,xinxinmo,1
ermilovmaxim,mraunak,1
MichaelHudgins,dimvar,2
dimvar,gpupuck,1
chsigg,dimvar,1
beckerhe,dimvar,2
dimvar,xhochy,2
dimvar,xinxinmo,2
dimvar,ermilovmaxim,1
